days,true_rate
21.22916667,215.8172182
21.25,230.578092
21.27083333,248.7804752
21.29166667,287.541349
21.3125,283.2900606
21.33333333,322.5943306
21.35416667,369.7778459
21.375,403.6481536
21.39583333,427.012801
21.41666667,453.3661275
21.4375,470.1194541
21.45833333,470.4803279
21.47916667,448.3808243
21.5,449.1945283
21.52083333,427.819553
21.54166667,418.1275966
21.5625,396.3903571
21.58333333,386.8795328
21.60416667,378.5460669
21.625,379.245256
21.64583333,371.1834883
21.66666667,368.4651168
21.6875,368.5542924
21.70833333,364.2962983
21.72916667,346.4533984
21.75,344.3689892
21.77083333,355.9600516
21.79166667,404.3637351
21.8125,412.151024
21.83333333,423.0175582
21.85416667,422.0199414
21.875,402.4562868
21.89583333,380.9001795
21.91666667,362.1516193
21.9375,320.9426817
21.95833333,289.5148762
21.97916667,266.0568821
22,252.6203948
22.02083333,230.9266967
22.04166667,217.817614
22.0625,212.3700698
22.08333333,207.1071409
22.10416667,209.4134429
22.125,205.2582063
22.14583333,204.4260467
22.16666667,206.2708102
22.1875,213.2848044
22.20833333,234.9757217
22.22916667,259.5281775
22.25,323.2190948
22.27083333,401.8638582
22.29166667,470.816314
22.3125,578.3533852
22.33333333,697.7058409
22.35416667,824.165989
22.375,918.7799833
22.39583333,955.6093621
22.41666667,944.4387409
22.4375,943.9758121
22.45833333,912.0359602
22.47916667,842.4345698
22.5,806.1562563
22.52083333,780.6779429
22.54166667,745.0942136
22.5625,719.7648117
22.58333333,706.0095751
22.60416667,684.1312617
22.625,669.2683328
22.64583333,654.7746347
22.66666667,640.8347828
22.6875,603.5410847
22.70833333,571.8781559
22.72916667,538.1844578
22.75,506.7984521
22.77083333,496.7355232
22.79166667,506.7956713
22.8125,508.0865886
22.83333333,468.4161377
22.85416667,466.6609011
22.875,443.6748953
22.89583333,412.1042742
22.91666667,377.1182684
22.9375,337.7938011
22.95833333,291.7308723
22.97916667,254.6217896
23,239.7588607
23.02083333,212.1574704
23.04166667,200.15608
23.0625,193.7854588
23.08333333,187.9686838
23.10416667,184.6442165
23.125,184.9197492
23.14583333,186.3376172
23.16666667,191.7823807
23.1875,211.7194519
23.20833333,249.3795999
23.22916667,295.7166711
23.25,390.8845115
23.27083333,476.5446596
23.29166667,566.3586538
23.3125,667.2495711
23.33333333,779.2447774
23.35416667,850.5827588
23.375,890.5505992
23.39583333,906.979978
23.41666667,887.2247415
23.4375,874.946428
23.45833333,832.5758069
23.47916667,783.0974934
23.5,727.9884107
23.52083333,706.8485588
23.54166667,685.4317838
23.5625,665.9534703
23.58333333,655.1520799
23.60416667,628.2891511
23.625,626.5339146
23.64583333,607.7017549
23.66666667,586.6542107
23.6875,568.2835896
23.70833333,538.2821992
23.72916667,506.5269626
23.75,471.0794184
23.77083333,451.3241819
23.79166667,460.5535607
23.8125,468.6752473
23.83333333,459.9046261
23.85416667,449.1955434
23.875,431.7479992
23.89583333,409.5927627
23.91666667,371.1913723
23.9375,318.4822896
23.95833333,295.2193607
23.97916667,261.5256627
24,236.5088877
24.02083333,212.9690357
24.04166667,195.98303
24.0625,192.2922458
24.08333333,189.429317
24.10416667,184.812542
24.125,187.8011228
24.14583333,186.7843478
24.16666667,195.921419
24.1875,216.4123363
24.20833333,251.0263305
24.22916667,307.2403248
24.25,396.4081652
24.27083333,493.7913902
24.29166667,570.4976921
24.3125,680.9886094
24.33333333,781.3256805
24.35416667,852.9045914
24.375,907.6416626
24.39583333,909.3941184
24.41666667,874.3158049
24.4375,884.8374914
24.45833333,830.6514857
24.47916667,784.4039414
24.5,718.4948587
24.52083333,719.4165453
24.54166667,694.3997703
24.5625,672.0599184
24.58333333,676.3046818
24.60416667,648.7032914
24.625,636.424978
24.64583333,623.8697414
24.66666667,608.520178
24.6875,587.103403
24.70833333,540.9481665
24.72916667,510.3929299
24.75,485.7453857
24.77083333,463.036303
24.79166667,462.5733742
24.8125,457.1258299
24.83333333,455.2782857
24.85416667,444.569203
24.875,428.6908896
24.89583333,422.9985522
24.91666667,397.0587002
24.9375,347.5803868
24.95833333,312.5020733
24.97916667,279.3622214
25,259.9762156
25.02083333,234.3132868
25.04166667,223.1426656
25.0625,210.4951214
25.08333333,205.6014233
25.10416667,208.7384945
25.125,205.5063349
25.14583333,208.0895599
25.16666667,217.4112464
25.1875,238.0867791
25.20833333,287.2853887
25.22916667,341.8378445
25.25,444.1133772
25.27083333,540.942756
25.29166667,626.0490579
25.3125,708.7553599
25.33333333,823.2155079
25.35416667,884.3218099
25.375,928.7204195
25.39583333,906.6574906
25.41666667,892.7176387
25.4375,875.3624022
25.45833333,828.191781
25.47916667,790.0673137
25.5,742.3428464
25.52083333,735.141456
25.54166667,707.1708349
25.5625,674.030983
25.58333333,660.4350786
25.60416667,650.0952267
